player_id,player_name,birth_date,position,club,base_rating
P-56280,Gary Cahill,1985-12-19,Defender,,79.9
P-91793,Makoto Hasebe,1984-01-18,Midfielder,,76.3
P-53863,Simon Elliott,1974-06-10,Midfielder,,69.1
P-41262,John Brooks,1993-01-28,Defender,,76.3
P-12842,Jacky Peeters,1969-12-13,Defender,,79.4
P-71130,Diego Tristán,1976-01-05,Forward,,90.2
P-33117,Christian Noboa,1985-04-09,Midfielder,,80.5
P-04977,Kyung-ho Chung,1980-05-22,Forward,,83.0
P-77402,Jordan Morris,1994-10-26,Forward,,80.1
P-27280,Famara Diédhiou,1992-12-15,Forward,,74.8
P-78418,not applicable Pedro,1987-07-28,Forward,,89.3
P-17853,Willy Caballero,1981-09-28,Midfielder,,88.9
P-70815,Diego Pozo,1978-02-16,Midfielder,,87.5
P-34915,Marco Tilio,2001-08-23,Forward,,79.5
P-28816,José Chamot,1969-05-17,Defender,,82.0
P-11130,Kily González,1974-08-04,Midfielder,,83.3
P-09292,Krépin Diatta,1999-02-25,Midfielder,,84.2
P-87661,Chris Smalling,1989-11-22,Defender,,85.5
P-31976,Salomon Kalou,1985-08-05,Forward,,73.5
P-56398,Hiroki Sakai,1990-04-12,Defender,,74.8
P-06696,Armando Cooper,1987-11-26,Midfielder,,80.4
P-96662,Rodolfo Cota,1987-07-03,Midfielder,,74.4
P-11392,Gianluigi Buffon,1978-01-28,Midfielder,,80.5
P-17071,Éric Deflandre,1973-08-02,Defender,,79.0
P-88869,Ahmed Reda Tagnaouti,1996-04-05,Midfielder,,79.7
P-60914,Juan Pablo Sorín,1976-05-05,Defender,,84.0
P-67615,Mattia De Sciglio,1992-10-20,Defender,,77.2
P-15134,Keiji Tamada,1980-04-11,Forward,,75.2
P-63370,Afriyie Acquah,1992-01-05,Midfielder,,74.9
P-73649,Gabriel Paletta,1986-02-15,Defender,,76.6
P-72244,Federico Fernández,1989-02-21,Defender,,86.3
P-01792,Ethan Horvath,1995-06-09,Midfielder,,80.5
P-12777,Franky Vandendriessche,1971-04-07,Midfielder,,82.3
P-75912,Enner Valencia,1989-11-04,Forward,,80.5
P-94736,Glen De Boeck,1971-08-22,Defender,,86.7
P-75959,Constant Djakpa,1986-10-17,Defender,,74.1
P-66580,Óscar Ustari,1986-07-03,Midfielder,,86.4
P-63253,Seydou Doumbia,1987-12-31,Forward,,75.1
P-54768,Chaouki Ben Saada,1984-07-01,Forward,,73.5
P-22633,Kaoru Mitoma,1997-05-20,Midfielder,,77.6
P-69451,Steven Nzonzi,1988-12-15,Midfielder,,87.6
P-64760,Pavel Nedvěd,1972-08-30,Midfielder,,78.9
